수집날짜,발행날짜,브랜드명,함께노출된브랜드,기사제목,링크,출처,미디어명,타입,비고
2026-04-02,2026-04-01,Van Cleef & Arpels,,#제작비지원 반클리프 아펠 꽃이 잠실 한복판에 피었습니다. 🌸 반클리프 아펠이 봄을 맞아 잠실 롯데월드타워 월드파크에 꿈결 같은 봄의 정원 ‘Spring is Blooming’의 문을 열었습니다. 모두에게 열려있는 이 아름다운 정원은 메종과 오래도록 협업해 온 프랑스 아티스 - instagram.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBaYjhEd25VQ1FId0xKWGRQVVNuSTN1VXNxQllRS2RwRWVwUXktV3FvNS1yaHIzUDZGel9TVVYzLWpCbGFkVGZWOEdmaHgwa0JVM2x2WmpB?oc=5,Instagram @global:반클리프,Instagram,SNS,
2026-04-02,2026-04-01,Van Cleef & Arpels,,[기업家] 롯데그룹 ㅣ '바이오부터 유통·화학까지 전방위 확장…신사업...,https://www.cbci.co.kr/news/articleView.html?idxno=564723,Naver News,Cbci,TGD,
2026-04-02,2026-04-01,Van Cleef & Arpels,,[기업家] 롯데그룹 ㅣ '바이오부터 유통·화학까지 전방위 확장…신사업...,https://www.cbci.co.kr/news/articleView.html?idxno=564723,Naver News,Cbci,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,[기업家] 롯데그룹 ㅣ '바이오부터 유통·화학까지 전방위 확장…신사업...,https://www.cbci.co.kr/news/articleView.html?idxno=564723,Naver News,Cbci,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,"[기업리포트] 서희건설, 오너일가 사내이사 '장악'…경영승계 변수는?",https://www.sejungilbo.com/news/articleView.html?idxno=57813,Naver News,Sejungilbo,TGD,
2026-04-02,2026-04-01,Van Cleef & Arpels,,"[기업리포트] 서희건설, 오너일가 사내이사 '장악'…경영승계 변수는?",https://www.sejungilbo.com/news/articleView.html?idxno=57813,Naver News,Sejungilbo,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,"[기업리포트] 서희건설, 오너일가 사내이사 '장악'…경영승계 변수는?",https://www.sejungilbo.com/news/articleView.html?idxno=57813,Naver News,Sejungilbo,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,"[서울 잠실 월드파크 잔디광장] ➿ Van Cleef & Arpels 전시형 팝업 (2026.03.27. ~ 04.12.) ➿ 스프링 이즈 블루밍 (Spring is Blooming) — 봄을 보석으로 만든 느낌. 꽃, 나비 같은 익숙한 형태들이 전부 섬세하게 재해석돼서 화려한데도 부담스럽지 않다. 가볍게 보기 좋고 - instagram.com",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1faEdWdHNtajBCOVRUbmlLZmNjX0lnbnlVMU9MWFRsU2tTcmxJMGkwZ1I4TzN0ZnFMS3dzaXN3QlAyWG03UUlvUjhpTGtOcnl5TXc?oc=5,Instagram @global:Van Cleef & Arpels,Instagram,SNS,
2026-04-02,2026-04-01,Van Cleef & Arpels,,ZYX Technology’s CAD and 3D Solutions: From Automation to Visualisation,https://vmspace.com/eng/news/news_view.html?base_seq=MzgxMA==,Naver News,Vmspace,TGD,
2026-04-02,2026-04-01,Van Cleef & Arpels,,ZYX Technology’s CAD and 3D Solutions: From Automation to Visualisation,https://vmspace.com/eng/news/news_view.html?base_seq=MzgxMA==,Naver News,Vmspace,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,"‘명품 N차 인상’은 뉴노멀… 반클리프, 두달만에 또 가격 올려",https://www.munhwa.com/article/11578921?ref=naver,Naver News,문화일보,TGD,
2026-04-02,2026-04-01,Van Cleef & Arpels,,"‘명품 N차 인상’은 뉴노멀… 반클리프, 두달만에 또 가격 올려",https://www.munhwa.com/article/11578921?ref=naver,Naver News,문화일보,TGD,URL중복
2026-04-02,2026-04-01,Van Cleef & Arpels,,"‘명품 N차 인상’은 뉴노멀… 반클리프, 두달만에 또 가격 올려",https://www.munhwa.com/article/11578921?ref=naver,Naver News,문화일보,TGD,URL중복
